Variable;Description;Values or units
name;The name of the technology;--
type;The group of the technology;"BS: Bioretention systems; CW: Constructed wetlands; DB: Detention basins; FS: Filter strips; GR: Green roofs; GW: Green walls; HA: Hydroponics and Aquaponics; IS: Infiltration system; ISRS: In-stream restoration systems; MS: Multi-stage systems; NW: Natural wetlands; PL: Ponds and lagoons; PO: Ponds;  PP: Pervious pavemen; SIS: Soil infiltration systems; SW: Swales; TR: Trees; WS: Willow systems"
description;A brief description of the technology;--
vertical;Is the technology a vertical structure (i.e., a green wall)?;"0 (no); 1 (yes)"
lost_flowrate;The proportion of flowrate that is lost due to evapotranspiration;--
bod_removal;Performace removal for biological organic matter;%
cod_removal;Performace removal for chemical organic matter;%
nh4_removal;Performace removal for ammonia;%
tn_removal;Performace removal for total nitrogen;%
no3_removal;Is the technology actively doing denitrification (removing nitrates and nitrites)?;"0 (no); 1 (yes)"
p_removal;Is the technology actively removing total phosphorus?;"0 (no); 1 (yes)"
pathogens_reduction;Is the technology actively removing pathogens, such as E.coli or Helminth eggs?;"0 (no); 1 (yes)"
raw_domestic_wastewater;Is the technology appropriate (active) for treating raw domestic wastewater?;"0 (no); 1 (yes); 2 (not ideal)"
pretreated_domestic_wastewater;Is the technology appropriate (active) for treating pretreated domestic wastewater (primary treated effluent)?;"0 (no); 1 (yes); 2 (not ideal)"
greywater;Is the technology appropriate (active) for treating greywater?;"0 (no); 1 (yes); 2 (not ideal)"
secondary_treated_wastewater;Is the technology appropriate (active) for treating secondary treated wastewater?;"0 (no); 1 (yes); 2 (not ideal)"
cso_discharge_water;Is the technology appropriate (active) for treating water from CSO discharge?;"0 (no); 1 (yes); 2 (not ideal)"
river_diluted_wastewater;Is the technology appropriate (active) for treating river diluted wastewater?;"0 (no); 1 (yes); 2 (not ideal)"
offices_wastewater;Is the technology appropriate (active) for treating wastewater from offices?;"0 (no); 1 (yes); 2 (not ideal)"
camping_wastewater;Is the technology appropriate (active) for treating wastewater from camping?;"0 (no); 1 (yes); 2 (not ideal)"
rain_water;Is the technology appropriate (active) for storing or infiltrating rainwater?;"0 (no); 1 (yes); 2 (not ideal)"
runoff_water;Is the technology appropriate (active) for storing or infiltrating after treating runoff water?;"0 (no); 1 (yes); 2 (not ideal)"
m2_pe_tropical;How many square meters are needed to treat one person equivalent (60 gr of BOD) in a tropical climate;m2 / pe
m2_pe_dry;How many square meters are needed to treat one person equivalent (60 gr of BOD) in a dry climate;m2 / pe
m2_pe_temperate;How many square meters are needed to treat one person equivalent (60 gr of BOD) in a temperate climate;m2 / pe
m2_pe_continental;How many square meters are needed to treat one person equivalent (60 gr of BOD) in a continental climate;m2 / pe
hlr_m3_m2_year_low;Yearly hydraulic loading ratio of the technology (low boundary);m3 / m2
hlr_m3_m2_year_high;Yearly hydraulic loading ratio of the technology (high boundary);m3 / m2
gr_bod_m2_tropical;How many grams of BOD5 can be treated by square meter in a tropical climate?;grams / m2
gr_bod_m2_dry;How many grams of BOD5 can be treated by square meter in a dry climate?;grams / m2
gr_bod_m2_temperate;How many grams of BOD5 can be treated by square meter in a temperate climate?;grams / m2
gr_bod_m2_continental;How many grams of BOD5 can be treated by square meter in a continental climate?;grams / m2
es_biodiversity_fauna;To what extent is the technology increasing the variability among living organisms from all sources, including diversity within species, between species and of ecosystems. Fauna including animals, fungi and various groups of bacteria.;0 (none) - 3 (high)
