id,name,types,description,retention,detention,treatment,reuse,infiltration,location,basin_location,storage_capacity_low,storage_capacity_high,depth,cost_low,cost_high,cost_units,fauna,flora,es_temperature_regulation,es_carbon_sequestration,es_biomass_production,es_aesthetic_value,es_recreation,es_pollination,es_food_source,es_water_reuse,es_biosolids,inv_es_manpower,inv_es_skills
GR_ER,Green roof,Extensive green roof,"Roofs that are covered with a lightweight, grass and plant layer with a shallow growing medium (usually less than 15 cm) that helps insulate buildings, provide habitat and increase the roof’s lifespan. They are not accessible for recreational use and require low maintenance",1,1,1,1,0,Rooftop,Upstream,0.5,0.5,0.1,36,36,€/m2,2,3,2,2,2,3,1,3,1,1,1,2,1
GR_IR,Green roof,Intensive green roof,"Roofs that have deeper substrates (usually more than 15 cm) that can support a wide variety of plantings, such as shrubs, trees, flowers and vegetables. They are usually accessible for recreational use and require regular maintenance and irrigation",1,1,1,1,0,Rooftop,Upstream,0.5,0.5,0.15,408.17,408.17,€/m2,3,3,3,2,3,3,3,3,1,1,1,3,1
GR_IRR,Green roof,Intensive green roof with retention layer,"Roofs that have deeper substrates (usually more than 15 cm) that can support a wide variety of plantings, such as shrubs, trees, flowers and vegetables. They are usually accessible for recreational use and require regular maintenance and irrigation. Notably, they incorporate retention layers of up to 8 cm, providing additional water storage capacity but adding weight to the green roof.",1,1,1,1,0,Rooftop,Upstream,0.88,0.92,0.15,408.17,408.17,€/m2,3,3,3,2,3,3,3,3,1,1,1,3,1
IS_IT,Infiltration systems,Infiltration trench,"Linear excavations filled with gravel or stone that create temporary subsurface storage of stormwater runoff, thereby enhancing the natural capacity of the ground to store and drain water. Infiltration trenches allow water to exfiltrate into the surrounding soils from the bottom and sides of the trench. They can be used in various soil types that can help distribute the infiltration area",0,1,0,0,1,Ground,Upstream,0.451,0.451,1.5,78,78,€/m2,1,2,2,1,1,2,1,1,1,1,1,2,2
IS_IBl,Infiltration systems,Infiltration blanket,"Large shallow systems that are typically constructed using permeable aggregate or geocellular units that act as extensive soakaway systems. They are designed to enable or enhance the infiltration of surface water runoff into the ground, and can be used in isolation or as part of a 3D (multiple plane) infiltration system.",0,1,0,0,1,Ground,Upstream,0.05,0.05,1,NA,NA,€/m2,1,2,2,1,1,2,2,2,1,1,1,1,2
IS_IBa,Infiltration systems,Infiltration basin,"Flat-bottomed shallow landscape depressions that store runoff (allowing pollutants to settle and filter out) before infiltration into the subsurface soils. They are a form of engineered sump or percolation pond that is used to manage stormwater runoff, prevent flooding and downstream erosion, and improve water quality in an adjacent river, stream, lake or bay",0,1,1,0,1,Ground,Both,0.18,0.19,5,65,65,€/m2,2,2,2,2,1,2,2,2,1,1,1,2,2
FS_FS,Filter strips,Filter strips,"Are uniformly graded and gently sloping strips of grass or other dense vegetation that are designed to treat runoff from adjacent impermeable areas by promoting sedimentation, filtration and infiltration. They are small, edge-of-field tracts of vegetated land that are used to reduce the contamination of surface water, especially from agricultural or construction activities. They can also serve as a buffer between incompatible land uses, and provide locations for groundwater recharge in areas with pervious soils",0,0,1,0,1,Ground,Upstream,0,0,0.5,411.25,411.25,€/m2,1,2,2,1,2,2,2,2,1,1,1,1,1
S_CAS,Swales,Conveyance and attenuation swale,"Conveyance and attenuation swales act similar to a pipeline in that they collect and carry surface water to the next stage in the SuDS management train. They are usually shallow and contain some vegetation, which means they can be used for both mitigation and treatment. If soil conditions permit and they are left unlined, they can also provide opportunities for infiltration. They have a larger storage capacity than filter drains and can attenuate peak flows by slowing down the runoff velocity",1,1,0,0,1,Ground,Both,0,0,0.5,29.16,29.16,€/m2,1,2,1,1,1,2,1,1,1,1,1,1,1
S_WS,Swales,Wet swale,"Wet swales are specifically designed to provide wet and/or boggy conditions at their base. As the system is often saturated, you will need to think carefully about your planting regime, using more water compatible vegetation at the base of the swale. Wet swales can enhance biodiversity and create habitats for wildlife. They can also provide some water quality treatment by facilitating biological processes that break down organic matter and nutrients",1,0,0,0,1,Ground,Both,0,0,0.4572,7.295,22.345,€/m2,3,3,1,1,1,2,1,2,1,1,1,3,1
BS_RG,Bioretention systems,Rain garden,"Rain gardens are small bioretention systems that serve part of a single property (roof or driveway). In simple rain gardens, filter and drainage layers are generally replaced by a thin layer of compost/sand-amended native soils or specified soil mixes. They usually have a simple inflow where rainwater enters the ground. Rain gardens can reduce runoff rates and volumes, and treat pollution through the use of engineered soils and vegetation",1,1,1,0,1,Ground,Upstream,0.4,0.4,0,103,103,€/m2,1,2,2,1,1,2,1,2,1,1,1,1,1
BS_RP,Bioretention systems,Raised planter,"Raised planters are boxed systems constructed above the surrounding ground surface, with a planted soil mix and an underdrain to collect the filtered water. They are similar to bioretention systems but have less storage capacity and infiltration potential. They can be used in areas with high groundwater levels or contaminated soils. Raised planters can provide aesthetic benefits and some water quality treatment",1,1,1,1,0,Ground,Upstream,0.3,0.3,0.25,9.89,9.89,€/m2,1,3,2,2,2,2,3,2,3,3,1,2,1
BS_BTP,Bioretention systems,Bioretention tree pit,"A bioretention tree pit is a street tree pit with enhanced performance achieved through extra surface planting and soil amendments. It is designed to receive urban runoff water and improve its quality as the water passes through the soil. It can also provide aesthetic, ecological and climatic benefits for the urban environment",0,1,0,0,1,Rooftop,Upstream,0.1,0.28,0,62.5,225,€/m2,1,2,2,2,1,3,1,2,1,1,1,1,1
